dealer_id,dealer_name,dealer_number,dealer_comment,dealer_address,dealer_city,dealer_state,dealer_iframe_map,zip_code,detail_url,img_from_url,local_img_url,title,year,make,model,car_price,modelNo,trim,drive_info,mpg_city,star,created_date,batch_no,historical_price,car_deal_badge,bottom_dealer_inventory_link,bottom_dealer_website_link,Mileage,Drivetrain,Exterior color,Interior color,MPG,Engine,Fuel type,Transmission,Make,Model,Year,Trim,Body type,Condition,VIN,Stock number,Fuel tank size,Combined gas mileage,City gas mileage,Highway gas mileage,Horsepower,Doors,Front legroom,Back legroom,Cargo volume,Option,NHTSA overall safety rating,NHTSA frontal crash rating,NHTSA side crash rating,NHTSA rollover rating,Cabin size,Bed length
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=389283784/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/06/30/21/12/2017_chevrolet_suburban-pic-9072405531560713337-1024x768.jpeg,Uploads/single_img/2017_chevrolet_suburban-pic-9072405531560713337-1024x768.jpeg,2017 Chevrolet Suburban 1500 Premier 4WD,2017,Chevrolet,Suburban,"$35,999", ,1500,Premier, ,5,2024-07-17 14:51:14,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"39,276 mi",Four-Wheel Drive,Silver Ice Metallic,Jet Black Leather,18 MPG,355 hp 5.3L V8 Flex Fuel Vehicle,Flex Fuel Vehicle,Automatic,Chevrolet,Suburban,2017,1500 Premier 4WD,SUV / Crossover,Used,1GNSKJKC7HR397981,AB42,31 gal,18 MPG,15 MPG,22 MPG,355 hp,4 doors,45 in,39 in,39 cu ft,"Adaptive Suspension, Alloy Wheels, Android Auto, Bluetooth, CarPlay, DVD Entertainment System, Heated Seats, Leather Seats, Navigation System, Power Package, Remote Start, Sunroof/Moonroof, Suspension Package, Third Row Seating",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=375925817/NONE,https://static.cargurus.com/images/forsale/2024/06/11/03/16/2015_chevrolet_camaro-pic-7981346511130396994-1024x768.jpeg,Uploads/single_img/2015_chevrolet_camaro-pic-7981346511130396994-1024x768.jpeg,2015 Chevrolet Camaro 2LT Coupe RWD,2015,Chevrolet,Camaro,"$19,999", ,2LT,Coupe, ,5,2024-07-17 14:51:52,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"60,626 mi",Rear-Wheel Drive,Summit White,Black leather,24 MPG,323 hp 3.6L V6,Gasoline,Automatic,Chevrolet,Camaro,2015,2LT Coupe RWD,Coupe,Used,2G1FF1E38F9270991,A87,19 gal,23 MPG,19 MPG,30 MPG,323 hp,2 doors,42 in,29 in,11 cu ft,"Alloy Wheels, Bluetooth, Heated Seats, Leather Seats, Navigation System",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=382609249/NONE,https://static.cargurus.com/images/forsale/2024/07/03/14/54/2015_chevrolet_silverado_2500hd-pic-1330713909133677178-1024x768.jpeg,Uploads/single_img/2015_chevrolet_silverado_2500hd-pic-1330713909133677178-1024x768.jpeg,2015 Chevrolet Silverado 2500HD Work Truck Double Cab RWD,2015,Chevrolet,Silverado,"$27,999", ,2500HD,Work, ,5,2024-07-17 14:52:09,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"47,812 mi",4X2,Summit White,Jet Black,,360 hp 6L V8 Flex Fuel Vehicle,Flex Fuel Vehicle,Automatic,Chevrolet,Silverado 2500HD,2015,Work Truck RWD,Pickup Truck,Used,1GC2CUEG9FZ549214,AB22,36 gal,,,,360 hp,4 doors,45 in,34 in,61 cu ft,"5th Wheel, Bluetooth, Standard Suspension Package, Steel Wheels, Suspension Package",,,,,Crew Cab,78 in
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=375925815/NONE,https://static.cargurus.com/images/forsale/2024/06/10/06/58/2019_nissan_sentra-pic-5499708405492444339-1024x768.jpeg,Uploads/single_img/2019_nissan_sentra-pic-5499708405492444339-1024x768.jpeg,2019 Nissan Sentra SV FWD,2019,Nissan,Sentra,, ,SV,FWD, ,5,2024-07-17 14:52:26,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,,Front-Wheel Drive,Gray (Gun Metallic),Black (Charcoal Cloth),33 MPG,124 hp 1.8L I4,Gasoline,Continuously Variable Transmission,Nissan,Sentra,2019,SV FWD,Sedan,Used,3N1AB7AP6KY426371,4545133,13 gal,32 MPG,29 MPG,37 MPG,124 hp,4 doors,42 in,37 in,15 cu ft,"Alloy Wheels, Bluetooth",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=390890355/NONE,https://static.cargurus.com/images/forsale/2024/07/15/15/17/2022_dodge_challenger-pic-4997267969588446885-1024x768.jpeg,Uploads/single_img/2022_dodge_challenger-pic-4997267969588446885-1024x768.jpeg,2022 Dodge Challenger SXT RWD,2022,Dodge,Challenger,"$29,999", ,SXT,RWD, ,5,2024-07-17 14:52:43,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"43,877 mi",Rear-Wheel Drive,Pitch Black Clearcoat,Black Cloth,24 MPG,303 hp 3.6L V6,Gasoline,Automatic,Dodge,Challenger,2022,SXT RWD,Coupe,Used,2C3CDZAG9NH218642,AB44,18 gal,23 MPG,19 MPG,30 MPG,303 hp,2 doors,42 in,33 in,16 cu ft,"Alloy Wheels, Bluetooth",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=380927724/NONE,https://static.cargurus.com/images/forsale/2024/05/28/18/42/2014_lexus_rx-pic-5445206433429420053-1024x768.jpeg,Uploads/single_img/2014_lexus_rx-pic-5445206433429420053-1024x768.jpeg,2014 Lexus RX 350 AWD,2014,Lexus,RX,"$22,999", ,350,AWD, ,5,2024-07-17 14:53:00,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"100,850 mi",All-Wheel Drive,Nebula Gray Pearl,Black Leather,21 MPG,270 hp 3.5L V6,Gasoline,Automatic,Lexus,RX,2014,350 AWD,SUV / Crossover,Used,2T2BK1BA3EC240022,AB26,19 gal,20 MPG,18 MPG,24 MPG,270 hp,4 doors,43 in,36 in,40 cu ft,"Alloy Wheels, Bluetooth",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=380614000/NONE,https://static.cargurus.com/images/forsale/2024/07/13/16/01/2018_nissan_rogue-pic-5388521301585390538-1024x768.jpeg,Uploads/single_img/2018_nissan_rogue-pic-5388521301585390538-1024x768.jpeg,2018 Nissan Rogue SV FWD,2018,Nissan,Rogue,"$23,999", ,SV,FWD, ,5,2024-07-17 14:53:16,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"49,780 mi",Front-Wheel Drive,Magnetic Black,Black (Charcoal Leather),29 MPG,170 hp 2.5L I4,Gasoline,Continuously Variable Transmission,Nissan,Rogue,2018,SV FWD,SUV / Crossover,Used,5N1AT2MT6JC850321,AB12,14 gal,29 MPG,26 MPG,33 MPG,170 hp,4 doors,43 in,37 in,39 cu ft,"Alloy Wheels, Bluetooth, Remote Start",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=382042918/NONE,https://static.cargurus.com/images/forsale/2024/06/11/02/37/2013_honda_cr-v-pic-7406215307745168884-1024x768.jpeg,Uploads/single_img/2013_honda_cr-v-pic-7406215307745168884-1024x768.jpeg,2013 Honda CR-V EX-L FWD,2013,Honda,CR-V,"$18,999", ,EX-L,FWD, ,5,2024-07-17 14:53:33,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"104,733 mi",Front-Wheel Drive,White Diamond Pearl,Black Cloth,27 MPG,185 hp 2.4L I4,Gasoline,Automatic,Honda,CR-V,2013,EX-L FWD,SUV / Crossover,Used,5J6RM3H7XDL003646,AB19,15 gal,26 MPG,23 MPG,31 MPG,185 hp,4 doors,41 in,38 in,37 cu ft,"Alloy Wheels, Bluetooth, Heated Seats, Leather Seats, Sunroof/Moonroof",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=375925832/NONE,https://static.cargurus.com/images/forsale/2024/06/08/19/29/2018_honda_civic-pic-2066770676061586727-1024x768.jpeg,Uploads/single_img/2018_honda_civic-pic-2066770676061586727-1024x768.jpeg,2018 Honda Civic LX,2018,Honda,Civic,"$23,999", ,LX,, ,5,2024-07-17 14:53:50,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"69,480 mi",Front-Wheel Drive,Aegean Blue Metallic,Black Cloth,35 MPG,158 hp 2L I4,Gasoline,Continuously Variable Transmission,Honda,Civic,2018,LX,Sedan,Used,19XFC2F54JE020549,A55,12 gal,35 MPG,31 MPG,40 MPG,158 hp,4 doors,42 in,37 in,15 cu ft,"Bluetooth, Steel Wheels",,,,,,
267082,Sky's Auto Sales,(844) 431-1323,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78751,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088#listing=385588741/NONE,https://static.cargurus.com/images/forsale/2024/05/21/06/01/2014_toyota_camry-pic-7894881826969760115-1024x768.jpeg,Uploads/single_img/2014_toyota_camry-pic-7894881826969760115-1024x768.jpeg,2014 Toyota Camry L,2014,Toyota,Camry,"$17,999", ,L,, ,5,2024-07-17 14:54:07,11,,,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.skysautos.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=39B0E0A42A6B19DC65A8BF15B244C43882A3B704,"97,054 mi",Front-Wheel Drive,Cosmic Gray Mica,Ash Leather,30 MPG,178 hp 2.5L I4,Gasoline,Automatic,Toyota,Camry,2014,L,Sedan,Used,4T1BF1FK8EU459598,AB17,17 gal,29 MPG,25 MPG,35 MPG,178 hp,4 doors,41 in,38 in,15 cu ft,Bluetooth,,,,,,
